Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
34684-consent_travel,Willingness to travel for observation,Are you willing to travel to VCU to complete an in-person observation appointment (about 2 hours long)?,Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
29826-storage_permission,Storage permission,I agree that my data may be stored and used for future research as described earlier.,Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
29829-consent,Consent/Agreement by participant,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",Consent,Categorical,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",Not available at home,False,Excluded due to timing/form: Consent
Shipment Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""Confirm Your Shipping Address""",,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
32730-howreceive,How should at-home test kits be delivered to participant,Please let us know how you would like to receive your at-home COVID-19 test kit. There is no cost to you.,Confirm Your Shipping Address,Categorical,"1, Deliver to me; 2, I will pick-up from VCU; 3, Hospitalized at VCUHS – deliver to room",Not available at home,False,Excluded due to timing/form: Confirm Your Shipping Address
29858-Shipping_placement,Where should at-home test kits be left for the participant,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),Confirm Your Shipping Address,Categorical,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",Not available at home,False,Excluded due to timing/form: Confirm Your Shipping Address
32147-delivery_updates,How should delivery confirmation be provided to participant,How would you like to receive delivery confirmation updates for this kit delivery?,Confirm Your Shipping Address,Categorical,"1, Email me; 2, Text me; 3, I don't want to receive delivery confirmation",Not available at home,False,Excluded due to timing/form: Confirm Your Shipping Address
32150-preferred_time,"When should the kit be delivered, time that is good for participant","To avoid the kit being left unattended, please let us know what time we should deliver the kit when someone can receive it. (Orders placed after 3pm will arrive the next business day).",Confirm Your Shipping Address,Categorical,"1, Anytime between 9am - 7pm; 2, 8am - 12pm; 3, 12pm - 3pm; 4, 3pm - 7pm; 5, I am unable to receive a package at this time",Not available at home,False,Excluded due to timing/form: Confirm Your Shipping Address
Kit Received Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""I Received My Testing Kit""",,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
29871-KitReceived_response,Participant confirmation of kit possession,Please confirm when you have received your kit. You can return to this page at any time.,I Received My Testing Kit,Categorical,"1, Yes, I received the kit; 2, No, still waiting to receive the kit",Not available at home,False,Excluded due to timing/form: I Received My Testing Kit
